,ID,Age,Gender,Marrige,Education,Bank_Credit_Condition,Housing_Condition,Old_Client,Current_Job_Working_Years,Loan_Amount,Loan_Purpose,Loan_Period,Monthly_Interest_Rate,Breach_Monthly_Interest_Rate,Other_Loan,Collateral,Way_of_Mortgage,Full_Value,Client_Category,Loan_Time
54,1005004,53,男,已婚,初中,无,自有,是,12,2000000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2011-05-25
55,1005005,29,男,已婚,初中,无,租房,否,24,100000,经营,12,0.0153,0.01989,无,无,担保,否,逾期,2010-05-24
56,1005005,25,男,离异,大专,无,自有,是,24,450000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2011-05-30
57,1006001,54,女,已婚,小学,无,自有,否,NA,70000,经营,12,0.015,0.0195,无,有,抵押,是,逾期,2010-06-04
58,1006003,25,男,已婚,大学本科,逾期1次以上（2次）,自有,否,24,80000,消费,12,0.0153,0.01989,无,无,担保,否,逾期,2010-06-09
59,1006004,57,男,已婚,小学,无,自有,否,24,200000,经营,12,0.0153,0.01989,信用社贷款,无,担保,否,无逾期,2010-06-09
60,1006006,48,男,已婚,初中,无,自有,否,48,300000,经营,12,0.015,0.0195,信用社贷款,有,抵押,否,无逾期,2010-06-24
61,1006008,39,男,已婚,初中,无,自有,否,108,50000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-06-29
62,1006009,31,女,已婚,高中,无,自有,否,36,200000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-06-28
63,1006010,36,男,已婚,大学本科,无,自有,否,72,100000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-07-08
64,1006013,38,男,已婚,初中,无,自有,否,84,200000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-06-30
65,1006014,27,男,未婚,本科及以上,无,自有,否,48,1300000,经营,3,0.015,0.0195,无,无,担保,否,无逾期,2010-06-30
66,1007001,48,男,已婚,小学,无,自有,否,120,1000000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-07-06
67,1007002,29,男,已婚,初中,无,自有,是,120,1000000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-07-14
68,1007003,37,男,已婚,初中,无,租房,否,84,20000,经营,12,0.015,0.0195,无,无,信用担保,否,无逾期,2010-07-06
69,1007004,53,男,已婚,初中,无,自有,是,72,600000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-07-13
70,1007005,40,男,已婚,初中,无,自有,否,36,200000,经营,6,0.0147,0.01911,无,有,抵押,是,无逾期,2010-07-26
71,1007007,33,男,已婚,初中,无,自有,否,36,400000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-07-15
72,1007008,52,男,已婚,高中,无,自有,否,60,1000000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-08-13
73,1007009,31,男,已婚,高中,无,自有,否,132,500000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-07-30
74,1007010,32,男,已婚,初中,无,自有,否,60,150000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-07-23
75,1007011,40,男,已婚,初中,无,自有,是,60,200000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-07-30
76,1007012,43,男,已婚,初中,无,自有,否,24,500000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-07-27
77,1007013,41,男,已婚,初中,无,自有,是,72,1000000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-07-23
78,1007014,47,男,已婚,初中,无,自有,否,24,80000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-07-23
79,1007015,27,男,已婚,本科及以上,无,自有,是,48,30000,房屋装修,12,0.015,0.0195,房贷,有,抵押,是,无逾期,2010-07-27
80,1007016,52,男,已婚,小学,有违约,自有,否,36,30000,经营,6,0.015,0.0195,无,无,担保,否,逾期,2010-07-27
81,1008002,47,男,已婚,小学,无,自有,是,96,1000000,经营,12,0.015,0.0195,无,有,抵押,是,无逾期,2010-08-10
82,1008004,34,男,已婚,高中,无,自有,否,168,100000,经营,12,0.0153,0.01989,无,无,担保,否,无逾期,2010-08-05
83,1008006,28,男,已婚,初中,无,自有,否,24,200000,经营,12,0.015,0.0195,无,无,担保,否,无逾期,2010-10-15
84,1008007,56,男,已婚,初中,无,自有,否,48,500000,经营,12,0.015,0.0195,无,无,担保,否,无逾期,2010-08-11
